file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion
data\AudioData\DC\n21.wav,0 days,0 days 00:00:04.078072562,26.074188,0.11097856,23.178493,26.414005,28.231552,5.0530586,168.51892,236.88396,33.287415,16.073666,0.49055278,0.8271673,0.15174398,0.33625895,0.8221318,0.67038786,8.6958685,4.547031,7.4605913,4.862942,0.37581906,1.2347913,30.549011,0.46670547,15.343966,0.61271775,24.130222,0.5589679,11.896263,0.97399575,0.02634289,1.141627,1.4891977,0.87030345,7.3508816,0.22511043,3.0928655,2.6478477,30.271864,0.3344218,509.0217,0.4090233,1183.5712,0.14160791,-97.900986,-0.9638482,1650.4863,0.14944662,945.65356,0.41080433,-109.258865,-0.7575472,2659.0176,0.10503828,908.9667,0.3913838,-110.29764,-0.73941666,-29.50243,-0.22931398,36.765217,0.2359592,-0.058250874,-0.6440453,-0.037528247,-0.4345705,0.6407651,0.76823646,39.6954,0.3195049,15.416099,0.64876324,28.686493,0.5587228,10.281253,1.458169,-39.658302,52.945072,-0.12962185,-0.008287992,0.08352117,3.2019706,2.244389,0.22777778,0.078849755,0.177,0.16093786,-23.831755,neutral
data\AudioData\DC\n22.wav,0 days,0 days 00:00:03.051995465,26.155619,0.11812495,24.665712,25.923887,28.757973,4.0922604,348.74643,455.91016,59.13083,48.468235,0.57402706,0.87928694,0.14850068,0.3561164,1.0760679,0.92756724,9.3113,4.101339,7.9861364,1.8034041,0.4636478,1.1235377,35.34116,0.42943367,16.453686,0.5960923,15.840004,0.6268737,5.7300353,2.5700855,0.036914553,1.5897728,1.5334256,1.0424808,7.307827,0.27232704,2.399421,4.6790075,35.266613,0.4370562,525.1949,0.4023173,1355.7479,0.17555131,-88.74071,-1.0566137,1546.4072,0.20425624,1184.4419,0.24507266,-100.945885,-0.81762403,2689.4814,0.1148827,945.154,0.36594507,-105.34552,-0.7466952,-32.905,-0.22486186,41.57331,0.2387989,-0.057743218,-0.70857954,-0.03947546,-0.54026735,0.7581366,0.6732668,45.74021,0.20643203,17.812693,0.6357792,14.552891,0.87066567,-0.6036198,-26.702887,-40.19605,54.350716,-0.13269697,-0.007545819,0.06692239,2.9605265,1.6722409,0.34,0.22297983,0.19666666,0.18580158,-22.644154,neutral
data\AudioData\DC\n23.wav,0 days,0 days 00:00:03.315102041,26.443272,0.20192789,24.017702,25.70385,29.642353,5.624651,160.05057,107.06928,32.753605,4.5223727,0.6063185,0.8367536,0.15022966,0.42526865,1.0632987,0.913069,12.698342,7.946692,7.880156,4.3925242,0.45143384,1.195312,30.271904,0.6572367,13.940547,0.9801455,18.545055,0.50901335,7.4355125,1.4403318,0.030230662,1.6092882,1.3698193,0.8608178,7.1839523,0.35718277,4.187668,3.9712164,29.609467,0.37857953,503.3367,0.36201915,1280.3107,0.172836,-99.68003,-0.9570917,1547.2955,0.1565443,1037.4963,0.21770051,-107.279,-0.7950035,2648.29,0.09450742,912.7358,0.5179419,-109.93998,-0.7525774,-27.469769,-0.27343154,35.277225,0.24213542,-0.051178165,-0.7089703,-0.032426942,-0.5266113,0.79505336,0.69287926,44.23387,0.3018724,9.123547,1.6982497,18.312315,0.65080655,6.6728635,1.8721676,-36.688095,48.442783,-0.13036436,-0.008698518,0.06920518,3.6363637,1.5384616,0.34,0.30886889,0.28599998,0.23346092,-23.154139,neutral
data\AudioData\DC\n24.wav,0 days,0 days 00:00:03.867596372,26.670845,0.16312937,23.664612,25.499977,29.983995,6.3193836,652.6783,905.3888,38.34597,40.358383,0.6389278,0.8154144,0.15120757,0.48380756,1.1464239,0.99521637,11.066691,6.285947,7.5438666,3.5536733,0.46381572,1.1185323,34.729546,0.4622573,12.327418,0.89177024,17.666546,0.91272604,8.282966,1.1516857,0.019461483,1.422718,1.3663962,1.0175314,7.730524,0.31488392,1.2990302,4.9406085,29.894697,0.37329477,541.5372,0.44123027,1238.3776,0.16998807,-79.056114,-1.1687636,1583.4495,0.19462931,1013.00354,0.28991592,-89.620415,-0.9289485,2660.5515,0.11831519,889.8194,0.4016189,-94.16664,-0.8452406,-26.859058,-0.2897174,36.816383,0.26017535,-0.052052584,-0.81817454,-0.035034515,-0.44091994,0.7055591,0.74259055,43.445843,0.3067948,10.23129,1.2470366,17.176083,1.1624321,6.22131,1.7245007,-40.08667,53.38787,-0.12695545,-0.009553186,0.07110813,3.1168833,2.1052632,0.2875,0.19175178,0.16499999,0.1806931,-22.610268,neutral
data\AudioData\DC\n25.wav,0 days,0 days 00:00:04.025487528,25.299938,0.17723231,22.749773,25.313005,27.170258,4.4204845,226.09993,191.02441,68.20902,53.55947,0.58552194,0.8301626,0.1494463,0.44407356,0.9360137,0.7865674,8.282813,4.639322,7.730059,3.9237964,0.41002238,1.113205,33.931007,0.5090229,12.058632,1.0612229,17.845549,0.8835287,9.01214,1.3294065,0.033241406,1.7562519,1.499405,0.99993205,7.2310805,0.5852817,2.9498413,4.249297,31.635744,0.46820265,574.60394,0.4124365,1273.9468,0.19309066,-84.74868,-1.0913471,1652.852,0.1777728,1143.3276,0.30957553,-95.18594,-0.88092667,2704.1687,0.12632075,1050.1549,0.34915924,-100.00032,-0.7994684,-28.433409,-0.30764332,38.94862,0.2854105,-0.059790306,-0.60843223,-0.03453386,-0.61525184,0.6258921,0.7798482,43.45637,0.3252333,10.20173,1.4253799,15.883354,1.165955,6.6690173,2.140133,-38.573334,51.959206,-0.12558301,-0.009186838,0.10537023,2.992519,2.2727275,0.25333333,0.19183324,0.14899999,0.18124291,-24.022675,neutral
data\AudioData\DC\n26.wav,0 days,0 days 00:00:03.130907029,26.581873,0.1268903,23.574907,26.546694,28.864899,5.2899914,248.46785,347.87164,54.796673,39.749447,0.61251134,0.88945854,0.16939564,0.33775723,1.1154561,0.9460605,12.967662,8.552221,10.048125,3.7111204,0.5159391,1.1084039,32.78831,0.5173731,14.364449,0.7016042,16.45358,0.76511174,9.110286,1.2004282,0.04010618,1.6516871,1.8694202,0.7919281,7.096851,0.4081988,-0.03900259,-145.5585,32.542366,0.39266706,533.99506,0.4047039,1268.0061,0.15960905,-85.91859,-1.0960335,1568.8319,0.15874746,1147.5746,0.44946122,-97.27772,-0.8634091,2693.1147,0.0993289,975.3331,0.32705468,-102.626335,-0.77465,-29.337088,-0.25481385,40.4165,0.25053257,-0.054341376,-0.7559997,-0.031035926,-0.45404202,0.8491004,0.6431247,42.61756,0.31344682,13.916578,0.94073534,14.722159,1.0095935,5.9705954,2.2083817,-40.532944,54.408455,-0.13491632,-0.007820265,0.058408916,3.5256412,1.6286645,0.354,0.22791226,0.19833334,0.18515009,-22.467684,neutral
data\AudioData\DC\n27.wav,0 days,0 days 00:00:05.446235828,27.00271,0.18286946,23.778942,26.283442,29.034727,5.255785,488.82663,723.0481,57.69045,45.709698,0.628797,0.86966836,0.15156452,0.4710656,0.9977151,0.8461506,14.988066,9.55544,9.628893,4.900459,0.513173,1.2252166,33.926125,0.4425906,10.640448,1.3354342,18.744568,0.67126805,10.519306,0.9423878,0.02921146,1.3653836,1.6182759,0.803358,6.998924,0.3846766,3.873768,1.6515343,30.032555,0.40859362,519.8312,0.38411808,1248.1958,0.19529212,-84.39123,-1.0871474,1630.5614,0.13867752,1019.6748,0.271252,-94.81639,-0.87005216,2661.2363,0.092727326,1017.8691,0.38561475,-97.76374,-0.8203464,-27.641151,-0.33533105,36.787014,0.29318118,-0.061804924,-0.52014893,-0.034593165,-0.4122627,0.7810581,0.8543968,42.50699,0.2634025,8.544157,2.012125,19.731432,0.80351883,9.868878,1.0554756,-39.005196,52.198414,-0.12618996,-0.010921021,0.106694475,3.3149173,2.0446095,0.2881818,0.21607314,0.1790909,0.17005104,-23.479498,neutral
data\AudioData\DC\n28.wav,0 days,0 days 00:00:05.498843537,26.118849,0.100121334,24.08812,26.103233,28.286171,4.1980515,122.75339,112.92528,31.385387,15.450373,0.7082632,0.9522104,0.14932913,0.47064072,1.1943738,1.0450447,10.7244425,6.5378466,8.775953,3.450612,0.5529631,1.170529,32.676533,0.5320394,13.384585,0.94895077,17.464151,0.88017035,9.764571,1.0236136,0.020519482,1.0849216,1.4696243,0.7914614,7.404414,0.38245317,1.8725259,3.5221047,30.216576,0.39237276,521.6335,0.41326633,1278.6553,0.19470684,-85.142426,-1.0973318,1585.8232,0.17850049,1074.6238,0.3214742,-95.82959,-0.8778813,2619.9673,0.11771239,1014.3334,0.36302015,-99.12819,-0.82128245,-27.40209,-0.32268345,36.364605,0.28845638,-0.054107714,-0.72211844,-0.033812147,-0.47278565,0.8832216,0.74481785,42.773384,0.302684,11.705237,1.3198373,16.94334,1.1419733,7.935657,1.5136665,-38.878376,52.124825,-0.13130984,-0.008477216,0.076861985,2.919708,1.6574587,0.35111108,0.24168137,0.29285714,0.19432771,-21.85146,neutral
data\AudioData\DC\n29.wav,0 days,0 days 00:00:03.288775510,25.926947,0.11605704,24.111052,25.287241,28.568167,4.457115,141.1091,134.27039,26.628925,34.16823,0.6697351,0.7719263,0.15041913,0.5794274,1.1951456,1.0447265,8.898865,3.5074115,8.340025,4.0155387,0.4588146,1.054433,33.106506,0.5551887,15.135258,0.87473506,18.791111,0.7929704,8.045997,1.2599754,0.039197445,2.4367487,1.1742632,0.8441129,7.402422,0.22644027,4.3705726,1.5770607,33.040104,0.36562127,503.4943,0.38682228,1291.8434,0.1331174,-79.092766,-1.1565475,1568.875,0.17152779,1092.5322,0.21201584,-90.95523,-0.90257627,2676.2944,0.103934854,954.6837,0.417671,-94.7204,-0.8317436,-27.752531,-0.3174736,36.911148,0.240477,-0.059509758,-0.6015729,-0.030079834,-0.4149251,0.6843313,0.69388556,42.575535,0.33477226,14.7061615,1.0838449,17.956034,0.9513454,5.7228413,1.9735957,-38.05914,51.1747,-0.12870812,-0.008579198,0.082873076,3.058104,1.242236,0.5025,0.37211385,0.22399999,0.18937792,-22.581589,neutral
data\AudioData\DC\n30.wav,0 days,0 days 00:00:04.630612245,27.04674,0.19621739,24.434336,26.680302,30.205265,5.7709293,941.69403,1234.6396,83.88395,86.48835,0.55968785,0.8571031,0.14955223,0.38812536,0.9520548,0.8025026,10.102404,5.3508472,8.568117,3.841465,0.4854787,1.2475963,29.492334,0.57540506,12.962142,0.896042,19.99505,0.6446684,10.149231,0.8524031,0.072043374,2.3692646,1.6528561,0.76760095,6.670061,0.39459416,1.1717578,9.968455,27.038416,0.4590682,524.7728,0.4023708,1221.9052,0.15393655,-106.892204,-0.86800563,1624.3071,0.15266857,1011.4769,0.35132018,-115.45148,-0.71366173,2623.221,0.10820184,958.2273,0.39557922,-116.63724,-0.69565517,-27.024391,-0.28926712,35.96196,0.28626746,-0.05595754,-0.6976783,-0.03262488,-0.38454172,0.8704153,0.75482804,39.797493,0.3720221,10.442256,1.3307273,21.296967,0.78402644,8.996714,1.1723512,-37.45515,50.154842,-0.122209385,-0.01060271,0.1128067,4.112554,2.844639,0.16615385,0.09794335,0.15285714,0.19147654,-23.816252,neutral
data\AudioData\DC\sa01.wav,0 days,0 days 00:00:04.319183673,36.270573,0.22453782,32.921383,33.57835,34.666397,1.7450142,1158.112,1207.1123,114.35934,35.28352,0.7366009,0.784305,0.1680812,0.62364984,1.263381,1.0952998,13.066105,8.612465,9.34564,4.0170403,0.6137358,1.3922334,28.841448,0.67794156,16.87893,0.5127323,19.82747,0.81987745,8.203211,1.4831896,0.020906318,1.5584067,1.3222806,0.9749871,11.086385,0.1695223,10.004418,1.0190918,33.219135,0.5453296,580.4542,0.43899867,1188.2953,0.28728026,-90.247765,-1.027291,1696.7355,0.18778628,930.4131,0.38324752,-95.09636,-0.86235774,2744.8853,0.11910936,871.1379,0.4217319,-97.27008,-0.8161593,-27.309498,-0.32404578,35.382477,0.27704468,-0.051182624,-0.91353095,-0.033223215,-0.5742242,0.9523523,0.9905854,34.091187,0.6603085,19.049225,0.51311934,20.990416,0.94639933,4.665735,3.0968726,-40.05824,54.189922,-0.12963793,-0.007424376,0.0887674,3.7209306,1.882353,0.32,0.25840858,0.21428572,0.2134651,-20.462626,sadness
data\AudioData\DC\sa02.wav,0 days,0 days 00:00:03.939931973,33.44419,0.10328867,32.240223,33.21942,33.773804,1.5335808,189.61707,159.27855,57.194305,47.739002,0.8427641,0.8122021,0.14948317,0.7428416,1.6177514,1.4682682,12.371567,8.984035,10.296665,5.0889826,0.62708116,1.411813,33.396885,0.48773903,12.941852,0.9792718,14.082372,1.1525619,9.572212,1.062941,0.012541384,1.7042265,1.0074095,1.0153196,11.095807,0.20883921,6.5771003,1.4750904,28.982307,0.36630422,527.8394,0.35284087,1265.978,0.113614194,-81.43497,-1.1460943,1619.0325,0.1645453,991.8425,0.3185559,-90.790535,-0.9088992,2619.2832,0.101873554,898.441,0.35844678,-94.75895,-0.8359898,-24.996832,-0.31851628,33.955433,0.26274133,-0.04759413,-0.8381203,-0.031701837,-0.3602993,0.93796563,1.0512046,41.44061,0.35608214,11.058176,1.3291435,12.52283,1.599771,7.536557,1.492674,-39.588028,52.721504,-0.12316823,-0.009269794,0.12311614,2.8061225,1.8087856,0.33714285,0.5477933,0.19285715,0.25132304,-20.588615,sadness
data\AudioData\DC\sa03.wav,0 days,0 days 00:00:02.422947846,33.748035,0.026824728,33.088417,33.693977,34.54533,1.456913,18.522785,6.7022505,3.6653557,11.662852,0.6910238,1.0247899,0.14673075,0.18511193,1.30097,1.1542392,8.373757,5.969664,9.183243,4.0078077,0.44038236,1.4233313,31.355959,0.41500545,13.871241,0.7099974,17.10228,0.8455619,8.04555,1.3038348,0.007788693,0.8685437,0.75860333,0.9578817,11.758605,0.08779158,7.223845,1.4490697,30.942757,0.42820248,519.8675,0.2738931,1276.9238,0.121182226,-113.33829,-0.8340949,1636.295,0.15658592,964.6294,0.3169667,-121.24605,-0.7041595,2659.9485,0.09878201,961.0928,0.36838084,-124.690796,-0.6537369,-26.758476,-0.33017722,34.162464,0.31467897,-0.038213257,-0.91325885,-0.036884528,-0.33536112,0.88935804,0.7562043,43.148106,0.22374493,13.170617,1.0579593,16.541618,1.2610949,1.9387685,6.4823723,-41.567818,55.489956,-0.1297317,-0.008774934,0.07080134,2.074689,0.84745765,0.53499997,0.255,0.4133333,0.22954059,-20.974257,sadness
data\AudioData\DC\sa04.wav,0 days,0 days 00:00:05.983650794,32.764233,0.065164,32.15811,33.043785,33.77275,1.6146393,439.67303,625.4032,33.876865,30.828423,0.78495395,0.9329272,0.15371127,0.5710384,1.3536787,1.1999674,17.67581,13.483637,11.651536,5.1326923,0.6769082,1.4206511,32.292786,0.43325895,13.78146,0.89672124,15.313435,0.83377135,8.106622,1.1637772,0.020495713,2.4110515,1.1248863,0.95883375,10.328667,0.19925918,5.4187884,1.4246504,33.186516,0.34414318,554.1626,0.30377743,1314.1107,0.117720984,-92.317696,-1.003993,1664.2897,0.13832012,1073.4495,0.2840755,-102.96852,-0.8054848,2712.4746,0.0932692,978.93243,0.35611677,-107.20159,-0.73990446,-27.449696,-0.29732326,36.319374,0.2737258,-0.047230646,-0.78301287,-0.035695598,-0.37591502,1.0960615,0.990247,40.770466,0.27420568,14.359625,0.9990406,12.709016,1.234626,4.5172887,1.8031352,-37.99148,50.78314,-0.12298553,-0.011017065,0.13295293,3.1825798,1.858108,0.29636362,0.25241643,0.241,0.21869843,-20.35133,sadness
data\AudioData\DC\sa05.wav,0 days,0 days 00:00:04.742993197,32.39956,0.114143,30.776073,32.03685,33.181843,2.4057693,145.31439,186.5181,24.371187,17.955122,0.8952465,0.7676058,0.17387156,0.7269983,1.5189577,1.3450862,13.381503,7.339036,11.3830595,4.692964,0.80946976,1.025011,33.494846,0.5209544,17.428019,0.7345062,17.133106,0.9762055,8.440954,1.3850262,0.0194465,1.7927482,1.2228293,0.8888949,10.239459,0.16026224,8.826076,1.10981,34.28101,0.31513157,506.92844,0.39470845,1255.1158,0.16466372,-63.645374,-1.3689517,1597.4349,0.16726062,1030.9075,0.3284476,-79.05287,-0.9569036,2615.566,0.11496033,965.8644,0.3613038,-82.09437,-0.8900077,-27.63252,-0.28987703,36.644997,0.24969973,-0.040115707,-1.0620722,-0.03163512,-0.45839188,1.0755955,0.7743963,40.33479,0.3760421,16.691534,0.79321307,16.604176,1.1858743,7.083919,1.8443719,-37.315,49.535645,-0.12625793,-0.0091986,0.18548565,3.805497,1.923077,0.3611111,0.26341534,0.1525,0.14254385,-19.293623,sadness
data\AudioData\DC\sa06.wav,0 days,0 days 00:00:04.129977324,32.91708,0.070108116,32.092422,33.49356,34.399532,2.3071098,344.39044,247.58553,34.691174,25.601873,0.72507787,0.9372183,0.14840023,0.38771904,1.4624453,1.3140451,14.190057,8.493049,8.2972765,3.289912,0.6815529,1.5310049,31.499025,0.46022728,15.512413,0.61849946,15.297335,0.84566337,11.032314,1.1194097,0.02571976,2.3750827,1.0678322,0.9763294,10.692163,0.19118682,11.340565,0.8686373,35.411022,0.34250158,520.2202,0.41784313,1286.6859,0.1529392,-94.73353,-1.0078447,1589.5626,0.1718628,1015.97565,0.22330694,-104.684845,-0.7979885,2685.5388,0.12818256,896.48914,0.3612216,-109.3025,-0.72844654,-28.35709,-0.2438788,37.25368,0.21420847,-0.040198393,-1.1930169,-0.029002735,-0.59508693,1.1866716,0.9949511,40.20773,0.33323926,16.81475,0.7053465,14.506912,1.144304,7.5666456,2.0460145,-40.671085,54.951694,-0.13390894,-0.007941725,0.057488784,2.919708,1.4778326,0.3683333,0.19641933,0.24571428,0.23101373,-19.40173,sadness
data\AudioData\DC\sa07.wav,0 days,0 days 00:00:02.914036281,34.41937,0.14017017,32.261055,33.30275,34.11154,1.8504868,41.94087,41.833282,92.51365,107.79138,0.8114467,0.92759687,0.14853933,0.44517186,1.7318902,1.5833509,11.181448,8.089739,8.528212,5.451088,0.6968729,1.4675004,30.708609,0.5326006,13.476578,0.6545402,18.883686,0.8222386,8.371681,0.98245424,0.03904896,2.3248348,1.1960909,0.89775676,10.748208,0.18094963,11.3341675,0.8861581,29.085876,0.6037822,518.1306,0.37291813,1235.0747,0.23503229,-90.08748,-1.0797331,1594.8291,0.13965055,983.75665,0.33184505,-99.02882,-0.8664916,2633.2705,0.084639944,853.4601,0.34757826,-99.590126,-0.85183465,-25.929567,-0.37845615,34.860233,0.3292538,-0.034586098,-1.2718669,-0.028719947,-0.4920583,1.1760902,0.95825243,36.287785,0.54041517,13.161597,0.8707754,20.38307,0.96668154,3.9950895,2.0828636,-42.2178,56.19347,-0.13297528,-0.00842363,0.04848972,2.4137933,0.7017544,0.83,0.57,0.38,0.25508168,-18.8743,sadness
data\AudioData\DC\sa08.wav,0 days,0 days 00:00:03.060793651,34.95297,0.19178,32.180485,33.634827,34.49101,2.310524,177.31862,161.52036,44.840775,24.029987,0.83795387,0.873913,0.14771058,0.6570162,1.5629086,1.4151981,18.171701,9.307912,10.003297,4.066025,0.7799442,1.423919,28.525578,0.6744924,12.38904,0.61742234,20.307215,0.8208175,10.78735,0.8993087,0.021677393,1.6765802,1.163352,0.9207685,9.955335,0.24185702,9.203264,1.0830792,27.798145,0.6341203,560.1307,0.4591222,1223.6924,0.24020983,-90.00769,-1.042144,1623.629,0.16533433,985.6412,0.29983252,-96.47678,-0.87492967,2659.632,0.106699,924.81134,0.41258493,-98.5971,-0.8373587,-24.813553,-0.35766906,33.22013,0.30942434,-0.043311946,-1.23846,-0.026931759,-0.53650504,1.2539259,0.98873895,34.663364,0.6393419,12.014323,0.74286956,21.418089,0.95066416,8.732784,1.2958611,-39.06768,52.962807,-0.1282149,-0.008446873,0.12656529,3.2786887,2.0,0.28666666,0.21084486,0.19,0.2055075,-19.408916,sadness
data\AudioData\DC\sa09.wav,0 days,0 days 00:00:02.746326531,33.652668,0.15605398,32.454346,33.73089,34.608177,2.1538315,764.695,719.9508,62.937325,55.821007,0.8512656,0.9727645,0.14729834,0.44864973,1.8322451,1.6849468,18.419922,13.050873,11.959009,5.095761,0.8458722,1.5924613,31.59724,0.4839441,12.668331,0.7801036,13.75239,0.9318181,10.839817,0.8787732,0.02480778,1.5253122,1.3300995,0.98739964,10.336558,0.22886357,7.7756505,1.1585112,31.93735,0.3929357,517.2502,0.3480596,1314.0038,0.10671477,-89.77249,-1.0466657,1575.9796,0.14790674,1028.0065,0.2743031,-98.15294,-0.8587151,2632.214,0.097696446,878.06464,0.31605387,-102.17719,-0.776925,-26.69946,-0.31540182,36.91228,0.27312213,-0.041559294,-1.2269313,-0.029373283,-0.47288102,1.4121441,1.0870339,39.56174,0.3668504,12.050118,0.988797,11.562029,1.3669897,6.9781165,1.5105014,-40.008816,53.68407,-0.13304846,-0.005937206,0.06928787,2.5641026,2.238806,0.25333333,0.16438437,0.25,0.203224,-18.750969,sadness
data\AudioData\DC\sa10.wav,0 days,0 days 00:00:04.161428571,33.752075,0.10460384,32.161934,33.41783,34.419514,2.2575798,186.43994,132.65405,14.41759,4.292652,0.85525984,0.74642754,0.20198137,0.7056902,1.5184565,1.3164752,15.43794,9.035801,10.2862015,4.568102,0.87156105,1.2272784,27.572237,0.72470415,14.591796,0.64905936,20.877028,0.78397,11.301174,0.95765966,0.02137253,1.246003,1.3752203,0.83426684,10.181026,0.20069245,12.524897,0.8893319,31.547056,0.3194158,512.5297,0.41233534,1218.6274,0.16123882,-82.686386,-1.1334928,1594.2025,0.14937131,920.0216,0.2886324,-94.193924,-0.8731604,2604.4404,0.101412684,895.6994,0.33222568,-97.66532,-0.81293684,-25.479282,-0.28125256,34.196445,0.24990438,-0.03547318,-1.3334051,-0.029318996,-0.41980895,1.331838,0.8647844,36.729668,0.4698087,14.014978,0.678297,20.714035,0.94140303,10.640823,1.2413458,-33.041348,45.26288,-0.12419089,-0.009533489,0.17894669,3.8554215,2.195122,0.26777777,0.19775282,0.14999999,0.116017245,-19.18489,sadness
data\AudioData\DC\sa11.wav,0 days,0 days 00:00:06.226417234,30.722143,0.060869694,29.872946,30.901268,32.151817,2.2788715,189.69891,224.08777,30.253511,25.915548,0.7147317,0.88297117,0.16692822,0.53139573,1.2327971,1.065869,14.556757,8.692307,9.969891,4.089556,0.6420054,1.249997,32.141537,0.5637661,16.78734,0.7308135,16.8094,0.73905075,8.506637,1.2182378,0.025478106,1.9042643,1.3719081,0.89037883,9.319642,0.22829159,5.279097,1.6950852,35.264595,0.31128788,535.49005,0.39626318,1282.431,0.16165711,-83.73844,-1.115321,1614.0056,0.16292141,1067.8875,0.26344672,-95.977036,-0.85557663,2704.4998,0.10191592,930.02527,0.42672408,-100.59648,-0.77819306,-29.668041,-0.27965632,39.47551,0.24728474,-0.049492706,-0.8528982,-0.032161914,-0.46382704,0.99918205,0.8414122,42.40178,0.29351953,16.94257,0.7995531,16.084309,0.87869775,6.049766,1.9663596,-37.491905,50.761612,-0.13369419,-0.009046183,0.09008065,3.2206118,1.1363636,0.5314286,0.32462853,0.28625,0.24366665,-21.051056,sadness
data\AudioData\DC\sa12.wav,0 days,0 days 00:00:05.377369615,31.783129,0.064504795,30.789196,31.7223,32.750626,1.9614296,267.63144,376.47226,30.428406,35.411243,0.7242708,0.88854295,0.15264034,0.5075071,1.2708341,1.1181937,10.80206,6.1852827,8.939462,4.690945,0.5720902,1.1886812,30.136032,0.5288029,15.560804,0.7292925,19.12166,0.62264353,10.6731415,0.9119659,0.021400396,1.6511536,1.3448719,1.1067076,10.000158,0.1933701,7.9130173,1.0726004,35.166317,0.3800795,551.7027,0.37950507,1262.5557,0.13412741,-99.06406,-0.95350856,1672.1132,0.14595988,1043.6243,0.3735619,-109.00772,-0.7638466,2692.2314,0.11491994,1000.20575,0.35952568,-112.937996,-0.70478827,-27.973475,-0.25113213,36.93289,0.23178212,-0.038906615,-1.0149277,-0.03229103,-0.5072587,0.9754314,0.7228605,40.72864,0.3006317,15.067329,0.7818309,18.753359,0.7853348,9.99059,1.1740234,-37.173412,49.64117,-0.119955465,-0.010980444,0.12101548,3.3582091,2.071563,0.24727271,0.15196237,0.19666666,0.23837411,-20.41378,sadness
